path,zone,kind,qualname,name,start_line,end_line,loc,statement_count,branch_count,parameter_count,decorator_count,has_docstring,calls,semantic_hash
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,mask_stats,mask_stats,254,282,29,24,6,1,0,True,b.astype;b.sum;cv2.findContours;cv2.fitEllipse;float;int;len;m.max;max;np.asarray;np.where;round;xs.max;xs.mean;xs.min;ys.max;ys.mean;ys.min,9bb3e2faa05c8c5d99dc
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,ellipse_centroid_distance,ellipse_centroid_distance,284,289,6,6,2,2,0,True,math.hypot,4d54e4a932ef15716539
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,ensure_dir,ensure_dir,292,294,3,3,0,1,0,False,os.makedirs,03634aa333815009285e
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,dump_json,dump_json,296,300,5,5,1,2,0,False,ensure_dir;json.dump;open;os.path.dirname,b1ff913b63c2e6a58d8c
algorithm/analysis/annotation-analysis/scripts/run_all.py,analysis,function,main,main,21,48,28,27,10,0,0,False,ap.add_argument;ap.parse_args;argparse.ArgumentParser;join;os.makedirs;os.path.abspath;os.path.join;print;str;subprocess.run,d80aea76fb08f97b5222
algorithm/analysis/data-distribution/handover-v1/04_code/blink_detect.py,analysis,function,pupil_features,pupil_features,36,76,41,29,8,1,0,True,cv2.GaussianBlur;cv2.arcLength;cv2.contourArea;cv2.findContours;cv2.moments;cv2.morphologyEx;cv2.threshold;dict;float;mean;np.ones;np.percentile;np.sqrt,54f99a3e3cad870f9463
algorithm/analysis/data-distribution/handover-v1/04_code/blink_detect.py,analysis,function,pupil_features_from_mask,pupil_features_from_mask,79,93,15,11,3,2,0,True,astype;cv2.arcLength;cv2.findContours;dict;float;m.sum;max;np.asarray;np.nonzero;np.sqrt;xs.mean;ys.mean,96cd62c3658b2da8b0de
algorithm/analysis/data-distribution/handover-v1/04_code/blink_detect.py,analysis,function,is_blink,is_blink,96,98,3,3,1,2,0,True,,ed3b370aba7361a75c58
algorithm/analysis/data-distribution/handover-v1/04_code/blink_detect.py,analysis,function,calibrate_tau,calibrate_tau,101,110,10,6,3,3,0,True,float;max;np.asarray;np.percentile,d11f2906c51aff987bdc
algorithm/analysis/data-distribution/handover-v1/04_code/blink_detect.py,analysis,function,smooth_blink_runs,smooth_blink_runs,113,146,34,27,12,3,0,True,copy;len;np.asarray,b9296af1e810c35fe43a
algorithm/analysis/data-distribution/handover-v1/04_code/build_4state_blink.py,analysis,function,default_v_sacc,default_v_sacc,46,56,11,9,2,0,0,True,dropna;float;len;np.percentile;os.path.exists;os.path.join;pd.read_csv,0660f22eede3d6ef7d9c
algorithm/analysis/data-distribution/handover-v1/04_code/build_4state_blink.py,analysis,function,default_tau,default_tau,59,66,8,8,2,0,0,True,bd.calibrate_tau;os.path.exists;os.path.join;pd.read_csv;tolist,3a580494fed0095d4873
algorithm/analysis/data-distribution/handover-v1/04_code/build_4state_blink.py,analysis,function,classify_session,classify_session,69,125,57,51,19,7,0,True,bd.is_blink;bd.pupil_features;bd.smooth_blink_runs;blink0.append;cv2.imread;cx.append;cy.append;dict;glob.glob;idx.append;len;np.array;np.full;np.hypot;np.isnan;os.path.join;parse_frame_filename;pd.DataFrame;range;score.append;session_dir;sorted;state.append;ts.append,3a07047e434554086e98
algorithm/analysis/data-distribution/handover-v1/04_code/build_4state_blink.py,analysis,function,build,build,128,159,32,26,13,6,0,False,classify_session;default_tau;default_v_sacc;enumerate;len;os.makedirs;os.path.exists;parts.append;pd.DataFrame;pd.concat;pd.read_csv;prev.code.astype;print;res.to_csv;set;str;time.time;to_csv;zip,c9a8e05d214dd91a5352
algorithm/analysis/data-distribution/handover-v1/04_code/build_4state_blink.py,analysis,function,aggregate,aggregate,162,192,31,29,2,1,0,True,ax.legend;ax.set_title;ax.set_xlabel;ax.set_ylabel;div;int;matplotlib.use;os.makedirs;os.path.join;out.tail;out.to_csv;pd.DataFrame;pd.concat;plt.savefig;plt.tight_layout;print;reindex;res.groupby;res.user.unique;share.plot;size;sorted;sum;tab.reset_index;tab.sum;to_string;unstack,dae5c1698708e86f4272
algorithm/analysis/data-distribution/handover-v1/04_code/build_4state_blink.py,analysis,function,main,main,195,211,17,13,1,0,0,False,aggregate;ap.add_argument;ap.parse_args;argparse.ArgumentParser;build;len;print,052f0663e00e3fd735a4
algorithm/analysis/data-distribution/handover-v1/04_code/build_excel.py,analysis,function,splitlab,splitlab,5,5,1,2,1,1,0,False,,24c07076e134868051f7
algorithm/analysis/data-distribution/handover-v1/04_code/build_excel.py,analysis,function,load4,load4,8,11,4,4,1,1,0,False,os.path.join;pd.read_csv,c060efe67b0dd63fe372
algorithm/analysis/data-distribution/handover-v1/04_code/build_excel.py,analysis,function,addAll,addAll,38,39,2,2,0,2,0,False,,1ce2718fb0d1969eeca0
algorithm/analysis/data-distribution/handover-v1/04_code/build_invocation_table.py,analysis,function,split_label,split_label,16,16,1,2,1,1,0,False,,24c07076e134868051f7
algorithm/analysis/data-distribution/handover-v1/04_code/build_invocation_table.py,analysis,function,per_subject_event,per_subject_event,18,20,3,4,0,0,0,False,ev.groupby;pd.read_csv;sum,7064ecf7af3e450e90bb
algorithm/analysis/data-distribution/handover-v1/04_code/build_invocation_table.py,analysis,function,per_subject_frame,per_subject_frame,21,29,9,13,4,0,0,False,T.reindex;fillna;int;json.load;open;p.startswith;pd.DataFrame;replace;rows.setdefault;s.get;split,4b82262ec4c888c8e094
algorithm/analysis/data-distribution/handover-v1/04_code/build_invocation_table.py,analysis,function,make,make,31,43,13,11,5,3,0,False,df.to_csv;dict;float;int;os.path.join;pd.DataFrame;round;rows.append;sorted;split_label,9a734feefa8600ae580f
algorithm/analysis/data-distribution/handover-v1/04_code/build_invocation_table.py,analysis,function,summary,summary,45,53,9,9,2,2,0,False,d.Search_inv.sum;d.Subject.nunique;d.Track_inv.sum;df.Subject.isin;dict;int;out.append;pd.DataFrame;round,d4a81df7063e064af11c
algorithm/analysis/data-distribution/handover-v1/04_code/build_sec3.py,analysis,function,split_violin,split_violin,27,44,18,23,10,4,0,False,ax.set_title;ax.set_xticklabels;ax.set_xticks;ax.set_ylabel;ax.set_ylim;ax.violinplot;b.get_paths;b.set_alpha;b.set_facecolor;enumerate;len;np.clip;np.mean;range;set_color;set_linewidth;sorted;str;sub.user.unique,8269b2314bb289f47cb7
algorithm/analysis/data-distribution/handover-v1/04_code/build_sec4.py,analysis,function,series_by_group,series_by_group,14,17,4,5,1,2,0,False,out.append;str,a3fd2ca201a60b63cff6
algorithm/analysis/data-distribution/handover-v1/04_code/build_sec4.py,analysis,function,violin_box,violin_box,19,31,13,13,5,6,0,False,ax.axhline;ax.boxplot;ax.set_xticklabels;ax.set_xticks;ax.set_ylabel;ax.violinplot;b.set_alpha;b.set_edgecolor;b.set_facecolor;dict;enumerate;len;np.arange;np.clip,681438ea0c2c811fd901
algorithm/analysis/data-distribution/handover-v1/04_code/build_splits_4state.py,analysis,function,splits_of,splits_of,19,24,6,9,4,1,0,False,s.append,47c72cb1745d3cc89bdb
algorithm/analysis/data-distribution/handover-v1/04_code/build_splits_4state.py,analysis,function,finalize,finalize,56,63,8,11,3,2,0,False,astype;df.Subject.apply;df.copy;df.to_csv;os.path.join;round;sum,392b2b092cda5a34f678
algorithm/analysis/data-distribution/handover-v1/04_code/build_splits_4state.py,analysis,function,split_summary,split_summary,69,76,8,8,3,0,0,False,d.Subject.nunique;df.Subject.isin;int;out.append;pd.DataFrame;round;sum,72e9a0b5fee38ed1696b
algorithm/analysis/data-distribution/handover-v1/04_code/common.py,analysis,function,_find_segments,_find_segments,25,32,8,7,3,0,0,False,os.environ.get;os.path.exists;os.path.join,713b6d43164ab6eb4386
algorithm/analysis/data-distribution/handover-v1/04_code/common.py,analysis,function,parse_frame_filename,parse_frame_filename,57,61,5,5,1,1,0,False,base.endswith;base.split;int;os.path.basename,addf4de02a5fce18498e
algorithm/analysis/data-distribution/handover-v1/04_code/common.py,analysis,function,session_dir,session_dir,64,65,2,2,0,3,0,False,os.path.join,dd5dc8850fa81b75c5ed
algorithm/analysis/data-distribution/handover-v1/04_code/common.py,analysis,function,list_frames,list_frames,68,70,3,3,0,3,0,False,glob.glob;os.path.join;session_dir;sorted,8ba779dba6d27eeb7fdc
algorithm/analysis/data-distribution/handover-v1/04_code/common.py,analysis,function,load_gt_ellipses,load_gt_ellipses,73,101,29,26,8,3,0,True,base.endswith;df.iterrows;dict;float;glob.glob;int;json.loads;os.path.join;parse_frame_filename;pd.DataFrame;pd.read_csv;re.match;reset_index;rows.append;session_dir;shape.get;sort_values;str,6d124bdd1aa2bb860b1a
algorithm/analysis/data-distribution/handover-v1/04_code/common.py,analysis,function,load_data_segments,load_data_segments,104,117,14,14,3,0,0,True,SEG_COLS.items;cols.items;pd.read_excel,be06838aa87f572de168
algorithm/analysis/data-distribution/handover-v1/04_code/common.py,analysis,function,euclidean,euclidean,120,121,2,2,0,4,0,False,float;np.sqrt,9b120837f322f6d614d4
