group_id,semantic_hash,path,zone,qualname,line,loc
169,a84a025119035e9f4430,algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/Loss.py,maintained,_transpose_and_gather_feat,55,5
169,a84a025119035e9f4430,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Loss.py,maintained,_transpose_and_gather_feat,55,5
170,aa2d1e56ff7548951425,hardware/tools/discover_c3b_smoke_candidates.py,maintained,iter_candidate_paths,51,19
170,aa2d1e56ff7548951425,hardware/tools/discover_pynq_smoke_candidates.py,maintained,iter_candidate_paths,78,19
171,ad1f967662209fde06ab,algorithm/analysis/data-distribution/handover-v1/04_code/run_test_mask.py,analysis,agg,46,15
171,ad1f967662209fde06ab,algorithm/analysis/data-distribution/handover-v2/04_code/run_test_mask.py,analysis,agg,46,15
171,ad1f967662209fde06ab,algorithm/analysis/data-distribution/src/run_test_mask.py,analysis,agg,46,15
172,ad275f9678150547c277,algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/Metric.py,maintained,cal_batch_iou,70,16
172,ad275f9678150547c277,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Metric.py,maintained,cal_batch_iou,70,16
173,addf4de02a5fce18498e,algorithm/analysis/data-distribution/handover-v1/04_code/common.py,analysis,parse_frame_filename,57,5
173,addf4de02a5fce18498e,algorithm/analysis/data-distribution/handover-v2/04_code/common.py,analysis,parse_frame_filename,57,5
173,addf4de02a5fce18498e,algorithm/analysis/data-distribution/src/common.py,analysis,parse_frame_filename,57,5
173,addf4de02a5fce18498e,algorithm/analysis/motion-label-packages/code/common.py,analysis,parse_frame_filename,57,5
174,b14ea0543087b1dfac58,algorithm/hybrid/src/preprocess/groundedsam_eye_region_bbox.py,maintained,_resolve_raw_user_dir,65,10
174,b14ea0543087b1dfac58,algorithm/hybrid/src/preprocess/raw_ellipse_blink.py,maintained,_resolve_raw_user_dir,115,10
175,b1605940a51b13bcf049,algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_all.py,analysis,one,17,16
175,b1605940a51b13bcf049,algorithm/analysis/data-distribution/handover-v1/04_code/event_4state_test.py,test,one,17,16
175,b1605940a51b13bcf049,algorithm/analysis/data-distribution/handover-v2/04_code/event_4state_all.py,analysis,one,17,16
175,b1605940a51b13bcf049,algorithm/analysis/data-distribution/handover-v2/04_code/event_4state_test.py,test,one,17,16
175,b1605940a51b13bcf049,algorithm/analysis/data-distribution/src/event_4state_all.py,analysis,one,17,16
175,b1605940a51b13bcf049,algorithm/analysis/data-distribution/src/event_4state_test.py,test,one,17,16
176,b3c56dd48e8c6f4adfca,hardware/tools/write_vref_p0_pot_scale_successor.py,maintained,parse_timing_summary,328,19
176,b3c56dd48e8c6f4adfca,hardware/tools/write_vref_p0_qkv_uram_cache_successor.py,maintained,parse_timing_summary,142,19
