path,zone,language,kind,name,line
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_mlp0_geluq64_int,48
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_mlp1_geluq64_int,59
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_mlp2_geluq64_int,70
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_mlp3_geluq64_int,82
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_mlp4_geluq64_int,94
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_mlp5_geluq64_int,106
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_mlp6_geluq64_int,118
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_mlp7_geluq64_int,130
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_mlp8_geluq64_int,142
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_mlp9_geluq64_int,154
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_mlp10_geluq64_int,165
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_mlp11_geluq64_int,176
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_geluq64_int,187
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_mlp1_geluq64_int,189
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn0_q_quant64_int,192
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn0_k_quant64_int,204
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn0_v_quant64_int,215
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn0_a_quant64_int,226
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn1_q_quant64_int,237
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn1_k_quant64_int,248
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn1_v_quant64_int,259
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn1_a_quant64_int,270
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn2_q_quant64_int,281
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn2_k_quant64_int,292
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn2_v_quant64_int,303
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn2_a_quant64_int,314
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn3_q_quant64_int,325
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn3_k_quant64_int,337
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn3_v_quant64_int,349
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn3_a_quant64_int,361
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn4_q_quant64_int,373
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn4_k_quant64_int,385
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn4_v_quant64_int,397
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn4_a_quant64_int,409
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn5_q_quant64_int,421
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn5_k_quant64_int,433
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn5_v_quant64_int,445
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn5_a_quant64_int,457
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn6_q_quant64_int,469
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn6_k_quant64_int,481
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn6_v_quant64_int,493
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn6_a_quant64_int,505
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn7_q_quant64_int,517
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn7_k_quant64_int,529
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn7_v_quant64_int,541
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn7_a_quant64_int,553
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn8_q_quant64_int,565
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn8_k_quant64_int,577
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn8_v_quant64_int,589
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn8_a_quant64_int,601
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn9_q_quant64_int,613
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn9_k_quant64_int,625
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn9_v_quant64_int,637
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn9_a_quant64_int,649
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn10_q_quant64_int,661
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn10_k_quant64_int,673
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn10_v_quant64_int,685
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn10_a_quant64_int,697
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn11_q_quant64_int,709
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn11_k_quant64_int,721
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn11_v_quant64_int,733
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn11_a_quant64_int,745
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn0_softmax_exp32_int,759
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn0_softmax_recip_uses_table_two,771
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn0_softmax_recip_int,776
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_clamp_int,813
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn1_softmax_exp32_int,816
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn1_softmax_recip_uses_table_two,828
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn1_softmax_recip_int,833
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_clamp_int,870
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn2_softmax_exp32_int,873
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn2_softmax_recip_uses_table_two,885
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn2_softmax_recip_int,890
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_clamp_int,927
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn3_softmax_exp32_int,930
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn3_softmax_recip_uses_table_two,942
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn3_softmax_recip_int,947
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_clamp_int,984
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn4_softmax_exp32_int,987
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn4_softmax_recip_uses_table_two,999
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn4_softmax_recip_int,1004
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_clamp_int,1041
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn5_softmax_exp32_int,1044
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn5_softmax_recip_uses_table_two,1056
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn5_softmax_recip_int,1061
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_clamp_int,1098
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn6_softmax_exp32_int,1101
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn6_softmax_recip_uses_table_two,1113
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn6_softmax_recip_int,1118
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_clamp_int,1155
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn7_softmax_exp32_int,1158
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn7_softmax_recip_uses_table_two,1170
hardware/hls/include/hgtxr_cyclic_math.hpp,maintained,C++ Header,function,hgtxr_hgpipe_attn7_softmax_recip_int,1175
